expID,user,userID,taskID,time,mental,temporal,psychological,performance,effort,central,response,visual,auditory,spatial,verbal,manual,speech,arousal,bias,intention,knowledge,parallelism,skill,difficulty
4,imac1@gabi.com,1,8,251,4,1,1,50,50,32,14,3,23,34,3,6,37,21,66,37,71,1,82,19.0
5,imac1@gabi.com,1,1,186,50,62,5,67,20,13,7,15,3,21,17,13,3,4,4,72,70,13,86,11.5
6,imac2@gabi.com,2,8,114,30,30,30,68,34,33,67,60,60,20,33,20,20,60,34,50,80,60,25,39.125
7,imac2@gabi.com,2,1,26,28,31,20,99,28,44,59,56,30,53,27,58,32,39,31,30,61,36,33,44.875
8,imac2@gabi.com,2,3,92,36,72,59,100,38,83,80,80,74,20,15,17,14,27,39,62,74,61,56,47.875
9,imac2@gabi.com,2,10,488,78,60,54,78,83,73,82,79,24,72,26,78,23,61,72,73,21,100,81,57.125
11,imac3@gabi.com,3,8,144,15,79,82,25,68,67,60,1,80,76,1,77,1,79,1,77,75,15,78,45.375
12,imac3@gabi.com,3,1,8,38,36,16,82,63,33,32,59,1,33,1,32,34,100,1,91,90,1,32,28.125
13,imac3@gabi.com,3,3,98,60,60,24,100,68,66,60,61,62,39,38,57,1,81,1,88,80,72,81,48.0
17,imac3@gabi.com,3,9,12,90,63,68,78,68,67,64,90,40,69,81,60,1,38,68,100,80,15,18,59.0
19,imac3@gabi.com,3,10,276,61,63,60,100,68,79,84,78,58,54,50,72,1,100,58,100,33,60,61,59.5
21,imac4@gabi.com,4,8,-1,70,50,30,26,84,73,73,50,70,29,97,50,72,50,74,29,23,28,72,64.25
